name,categories,rating,latitude,longitude,id
Αετών Μέλαθρον,Hotel,8.0,39.568827791809085,21.755557548857986,4bbb55893db7b713fc30249a
Ananti City Resort,Hotel,8.8,39.57743636257228,21.771641402614947,4e6fa702d1647b11380c5f56
Πάρκο Ματσόπουλου,Park,7.4,39.54650868191406,21.761140401289868,51f018ac498e58c5b6b8f9a6
Lidl,Supermarket,8.0,39.53818511,21.75349115,4e0b1b28e4cdfb543c60ff0a
Twins Café,Café,7.1,39.54805441538045,21.761850374035085,4e6ef6ef52b1706317a15a71
Oltre Bar Restaurant,Hotel,7.9,39.577582123165385,21.771425659878282,4efdd9e50e01089c53b23815
Σκλαβενίτης,Supermarket,7.0,39.559067,21.757622,5bca0187e0c0c9002ce8fdfb
ΑΒ Τρίκαλα,Supermarket,7.0,39.54442254342355,21.776699547784826,4daecab9fa8cf04fbe06ad9e
Trikala Railway Station (Σιδηροδρομικός Σταθμός Τρικάλων),Train Station,6.7,39.54636634516862,21.76355921774986,4c1d0655fcf8c9b69304ab0b
BaNó cafe,Café,6.6,39.547393798828125,21.764833450317383,536120f411d2471dc62bcc38
My Market,Supermarket,6.6,39.545868,21.774244,5865421a0037eb3be7e233cd
BP,Gas Station,6.6,39.54471317,21.77584595,55d49e53498ea36af67c6e28
Football Factory,Soccer Field,6.9,39.53066332462606,21.773915773143987,55637374498e2fe8f75767fa
Cine Café,Café,6.1,39.54641596793539,21.758844784657843,4f61ceaee4b024e6f745458a
Gallery Art Hotel,Hotel,6.6,39.53724952494647,21.791870848185365,4d52ff26bd6ff04d85c1010d
Μπαρ Μύλου Ματσόπουλου,Bar,5.9,39.546350491856906,21.758851737534677,4e10c12d62e1d997a699d8e0
"Billy's ""Πλατεία Βουβής""",BBQ Joint,,39.55551173613205,21.761351823806763,4e2a8c56091ac5a470e5433e
Το χωριάτικο ψωμί,Bakery,,39.55722098230441,21.758895526458293,51a08de6498e3fa33f233022
Πλατεία ΟΣΕ(ΚΔΑΠ),Park,,39.54724994813426,21.764129288970814,5022db5be4b0e6fe19fce8f4
Πλατεία Φιλοσόφων,Park,,39.54613504109751,21.76782698780429,4ed7ee60f5b915cfe2d92b3a
Μέλισσα,Dessert Shop,,39.54535462745384,21.768281129637945,4fb89a22e4b093431c459bdc
Παγοδρόμιο Μύλου Ξωτικών,Playground,,39.54563538344147,21.75888970412044,50b91a07e4b0e9ecea75d585
Granello,Cafeteria,,39.564529,21.752278,57e1031c498e16b14c8c057d
Τσιμπλής Cafe,Café,,39.54227512498118,21.758482140460607,4f4d27ffe5e882092459e119
Κουίντα,Ouzeri,,39.570562256953124,21.757148824919938,52a3400911d2996c3dc683d1
Παλιό Μεράκι,Restaurant,,39.53575182045879,21.752805358863665,4e0db53de4cd27fc7d27b5f1
Σταθμός ΚΤΕΛ Τρικάλων,Bus Station,,39.53729600521232,21.792317286902897,4c24dcd0c11dc9b6f6252624
